City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kapaa,75,US,1601128815,59,22.08,-159.32,73.0,9.08
1,Vallenar,0,CL,1601128983,42,-28.57,-70.76,64.4,4.68
2,Hilo,90,US,1601128613,83,19.73,-155.09,71.6,6.93
3,Gijang,40,KR,1601128983,68,35.24,129.21,68.0,12.75
4,Yellowknife,90,CA,1601128626,87,62.46,-114.35,42.8,5.82
5,Chui,100,UY,1601128823,97,-33.7,-53.46,59.11,5.84
6,Lagoa,0,PT,1601128497,78,39.05,-27.98,68.9,11.21
7,Busselton,12,AU,1601128497,96,-33.65,115.33,51.01,2.51
8,Nome,90,US,1601128881,79,64.5,-165.41,28.4,4.59
9,Saint Paul Harbor,90,US,1601128776,87,57.79,-152.41,46.4,6.93
10,Kutulik,100,RU,1601128984,84,53.35,102.78,41.7,20.0
11,Port Hedland,19,AU,1601128848,78,-20.32,118.57,75.2,10.29
12,George Town,40,MY,1601128867,78,5.41,100.34,82.4,3.36
13,Bluff,51,NZ,1601128628,90,-46.6,168.33,46.0,5.99
14,Rikitea,4,PF,1601128816,84,-23.12,-134.97,73.87,12.97
15,Ushuaia,40,AR,1601128689,64,-54.8,-68.3,39.2,23.04
16,Sola,2,VU,1601128710,81,-13.88,167.55,80.62,17.29
17,New Norfolk,5,AU,1601128821,76,-42.78,147.06,42.01,1.99
18,Mataura,94,NZ,1601128834,89,-46.19,168.86,46.0,7.0
19,Kirakira,98,SB,1601128985,84,-10.45,161.92,79.16,10.31
20,Port Alfred,47,ZA,1601128866,46,-33.59,26.89,61.66,34.56
21,Carnarvon,0,AU,1601128595,64,-24.87,113.63,68.0,16.11
22,Esperance,100,AU,1601128986,81,-33.87,121.9,53.6,14.99
23,Le Port,47,RE,1601128688,60,-20.94,55.29,75.2,13.87
24,Khatanga,100,RU,1601128832,77,71.97,102.5,37.9,13.04
25,Moyale,49,KE,1601128986,40,3.52,39.06,82.36,10.65
26,Hermanus,8,ZA,1601128843,59,-34.42,19.23,57.0,8.01
27,San Patricio,13,MX,1601128824,79,19.22,-104.7,79.52,2.77
28,Ormara,0,PK,1601128869,71,25.21,64.64,84.2,19.89
29,Hithadhoo,67,MV,1601128770,67,-0.6,73.08,82.85,4.92
